Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100nF,C_0805_2012Metric,151.478721,-86.899263,0,top
C5,100nF,C_0805_2012Metric,151.5,-83.1,-90,top
C6,100nF,C_0805_2012Metric,131.1,-103.6,90,top
D1,LED,LED_0805_2012Metric,124.318881,-111.690748,115,top
D2,LED,LED_0805_2012Metric,122.845,-108.53,-65,top
F1,Polyfuse,Fuse_1206_3216Metric,135.3,-104.6,-90,top
Q1,AO3400A,SOT-23,122.6,-92.5,45,top
R1,200k,R_0805_2012Metric,133.1,-104,-90,top
R2,R,R_0805_2012Metric,129.1,-105.9,-90,top
R3,4.7k,R_0805_2012Metric,127.5,-95.6,90,top
R4,4.7k,R_0805_2012Metric,129.5,-95.6,90,top
R5,10k,R_0805_2012Metric,125.3,-93.7,-135,top
R6,1k,R_0805_2012Metric,126.222128,-110.80325,115,top
R7,1k,R_0805_2012Metric,124.742964,-107.631173,-65,top
