Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"C2, C5, C6",C_0805_2012Metric,3,100nF,
2,"D1, D2",LED_0805_2012Metric,2,LED,
3,F1,Fuse_1206_3216Metric,1,Polyfuse,
4,JBATTERY1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,
5,JGPS1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
6,JGY1,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
7,JPyro1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
8,Q1,SOT-23,1,AO3400A,
9,R1,R_0805_2012Metric,1,200k,
10,R2,R_0805_2012Metric,1,100k,
11,"R3, R4",R_0805_2012Metric,2,4.7k,
12,R5,R_0805_2012Metric,1,10k,
13,"R6, R7",R_0805_2012Metric,2,1k,
14,"Servo1, Servo2",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
15,U1,XIAO-ESP32-C6-SMD,1,XIAO-ESP32-C6-SMD,
